_H:	|batch	|epoch	%avg_sse	%cnt_err	%epoch_time_tot	%epoch_time_usr
_D:	0	0	0.0182454	4855	3.7	6.16
_D:	0	1	0.0140467	4855	6.26	12.56
_D:	0	2	0.0131618	4855	5.97	11.68
_D:	0	3	0.0127602	4855	6.18	12.38
_D:	0	4	0.0130296	4855	6.17	12.41
_D:	0	5	0.0126706	4855	6.17	12.34
_D:	0	6	0.0125005	4855	6.04	11.96
_D:	0	7	0.0123442	4855	6.17	12.38
_D:	0	8	0.012257	4855	6.08	12.1
_D:	0	9	0.0119909	4855	6.75	13.87
_D:	0	10	0.012103	4855	6.3	12.69
_D:	0	11	0.0119246	4855	7.82	16.66
_D:	0	12	0.0120973	4855	6.66	13.65
_D:	0	13	0.0119765	4855	6.02	11.75
_D:	0	14	0.0119495	4855	6.34	12.86
_D:	0	15	0.0119397	4855	6.25	12.67
_D:	0	16	0.0121094	4855	6.02	11.81
_D:	0	17	0.011808	4855	6.16	12.38
_D:	0	18	0.0120188	4855	5.89	11.51
_D:	0	19	0.0119623	4855	6.75	13.94
_D:	0	20	0.0117703	4855	7.13	15.1
_D:	0	21	0.0115366	4855	5.99	11.82
_D:	0	22	0.0116948	4855	6.3	12.66
_D:	0	23	0.0116325	4855	6.13	12.11
_D:	0	24	0.0117152	4855	6.41	12.96
_D:	0	25	0.0115868	4855	6.26	12.56
_D:	0	26	0.0116293	4855	6.16	12.39
_D:	0	27	0.011321	4855	6.3	12.56
_D:	0	28	0.0114056	4855	6.59	13.5
_D:	0	29	0.0114419	4855	6.86	14.24
_D:	0	30	0.0115377	4855	6.86	14.11
_D:	0	31	0.0115646	4855	7.26	15.17
_D:	0	32	0.0114085	4855	7.28	15.35
_D:	0	33	0.0113273	4855	6.39	12.82
_D:	0	34	0.0113418	4855	6.08	12.1
_D:	0	35	0.0115354	4855	6.24	12.44
_D:	0	36	0.011396	4855	6.2	12.23
_D:	0	37	0.0112901	4855	6.9	14.31
_D:	0	38	0.0113006	4855	6.14	12.18
_D:	0	39	0.0113093	4855	6.22	12.42
_D:	0	40	0.0111354	4855	6.81	14.05
_D:	0	41	0.0112325	4855	4.84	9.03
_D:	0	42	0.0112635	4855	4.06	6.92
_D:	0	43	0.0113603	4855	3.76	6.15
_D:	0	44	0.0111239	4855	3.78	6.32
